utt_id,embedding_path
Ses01F_impro01_F000,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_F000.npy
Ses01F_impro01_M000,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_M000.npy
Ses01F_impro01_F001,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_F001.npy
Ses01F_impro01_M001,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_M001.npy
Ses01F_impro01_F002,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_F002.npy
Ses01F_impro01_M002,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_M002.npy
Ses01F_impro01_F003,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_F003.npy
Ses01F_impro01_F004,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_F004.npy
Ses01F_impro01_M003,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_M003.npy
Ses01F_impro01_F005,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_F005.npy
Ses01F_impro01_M004,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_M004.npy
Ses01F_impro01_M005,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_M005.npy
Ses01F_impro01_F006,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_F006.npy
Ses01F_impro01_M006,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_M006.npy
Ses01F_impro01_F007,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_F007.npy
Ses01F_impro01_M007,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_M007.npy
Ses01F_impro01_F008,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_F008.npy
Ses01F_impro01_M008,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_M008.npy
Ses01F_impro01_F009,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_F009.npy
Ses01F_impro01_M009,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_M009.npy
Ses01F_impro01_F010,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_F010.npy
Ses01F_impro01_F011,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_F011.npy
Ses01F_impro01_M010,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_M010.npy
Ses01F_impro01_F012,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_F012.npy
Ses01F_impro01_M011,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_M011.npy
Ses01F_impro01_F013,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_F013.npy
Ses01F_impro01_M012,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_M012.npy
Ses01F_impro01_F014,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_F014.npy
Ses01F_impro01_M013,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_M013.npy
Ses01F_impro01_F015,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro01_F015.npy
Ses01F_impro02_F000,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro02_F000.npy
M,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/M.npy
Ses01F_impro02_M000,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro02_M000.npy
Ses01F_impro02_F001,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro02_F001.npy
Ses01F_impro02_M001,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro02_M001.npy
Ses01F_impro02_F002,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro02_F002.npy
Ses01F_impro02_F003,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro02_F003.npy
Ses01F_impro02_M002,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro02_M002.npy
Ses01F_impro02_F004,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro02_F004.npy
Ses01F_impro02_M003,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro02_M003.npy
Ses01F_impro02_F005,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro02_F005.npy
Ses01F_impro02_M004,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro02_M004.npy
Ses01F_impro02_F006,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro02_F006.npy
Ses01F_impro02_M005,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro02_M005.npy
Ses01F_impro02_F007,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro02_F007.npy
Ses01F_impro02_M006,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro02_M006.npy
Ses01F_impro02_F008,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro02_F008.npy
Ses01F_impro02_F009,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro02_F009.npy
Ses01F_impro02_F010,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro02_F010.npy
Ses01F_impro02_M007,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro02_M007.npy
Ses01F_impro02_F011,/Users/whitesungun/Desktop/ser_multimodal_project/ser_multimodal_project/data/bert_cls_features/Ses01F_impro02_F011.npy
